name,deviation,heartbeat,decimals,address
1INCH_ETH,2%,24h,18,0x72afaecf99c9d9c8215ff44c77b94b99c28741e8
1INCH_USD,1%,24h,8,0xc929ad75b72593967de83e7f7cda0493458261d9
AAPL_USD,0.5%,24h,8,0x139c8512cde1778e9b9a8e721ce1aebd4dd43587
AAVE_ETH,2%,24h,18,0x6df09e975c830ecae5bd4ed9d90f3a95a4f88012
AAVE_USD,1%,1h,8,0x547a514d5e3769680ce22b2361c10ea13619e8a9
ACH_USD,2%,24h,8,0xfdfa69a65826e86bd25478ace08294dc49c02237
ADA_USD,1%,24h,8,0xae48c91df1fe419994ffda27da09d5ac69c30f55
ADX_USD,2%,24h,8,0x231e764b44b2c1b7ca171fa8021a24ed520cde10
AKRO_USD,2%,24h,8,0xb23d105df4958b4b81757e12f2151b5b5183520b
ALCX_ETH,2%,24h,18,0x194a9aaf2e0b67c35915cd01101585a33fe25caa
ALPHA_ETH,2%,24h,18,0x89c7926c7c15fd5bfdb1edcff7e7fc8283b578f6
AMP_USD,0.5%,24h,8,0x8797abc4641de76342b8ace9c63e3301dc35e3d8
AMPL_ETH,2%,24h,18,0x492575fdd11a0fcf2c6c719867890a7648d526eb
AMPL_USD,200%,24h,18,0xe20ca8d7546932360e37e9d72c1a47334af57706
AMZN_USD,0.5%,24h,8,0x8994115d287207144236c13be5e2bdbf6357d9fd
ANKR_ETH,2%,24h,18,0x2f2ea25382a236fd115dff160d258351b8b32d63
ANKR_USD,2%,24h,8,0x7eed379bf00005cfed29fed4009669de9bcc21ce
ANT_ETH,2%,24h,18,0x8f83670260f8f7708143b836a2a6f11ef0abac01
ARPA_USD,2%,24h,8,0xc40ec815a2f8eb9912bd688d3bde6b6d50a37ff2
ATOM_USD,2%,24h,8,0xdc4bdb458c6361093069ca2ad30d74cc152edc75
AUCTION_USD,2%,24h,8,0xa6bcac72431a4178f07d016e1d912f56e6d989ec
AUD_USD,0.15%,24h,8,0x77f9710e7d0a19669a13c055f62cd80d313df022
AUDIO_USD,2%,24h,8,0xbf739e677edf6cf3408857404746cacfd7120eb2
AUTO_USD,2%,24h,8,0x21c44778293e43afc0f318ac051ef867c3bdb5ee
AVAX_USD,2%,24h,8,0xff3eeb22b5e3de6e705b44749c2559d704923fd7
AXS_ETH,2%,24h,18,0x8b4fc5b68cd50eac1dd33f695901624a4a1a0a8b
BADGER_ETH,2%,24h,18,0x58921ac140522867bf50b9e009599da0ca4a2379
BADGER_USD,2%,24h,8,0x66a47b7206130e6ff64854ef0e1edfa237e65339
BAL_ETH,2%,24h,18,0xc1438aa3823a6ba0c159cfa8d98df5a994ba120b
BAND_ETH,2%,24h,18,0x0bdb051e10c9718d1c29efbad442e88d38958274
BAND_USD,2%,24h,8,0x919c77acc7373d000b329c1276c76586ed2dd19f
BAT_ETH,2%,24h,18,0x0d16d4528239e9ee52fa531af613acdb23d88c94
BAT_USD,1%,1h,8,0x9441d7556e7820b5ca42082cfa99487d56aca958
BCH_USD,1%,24h,8,0x9f0f69428f923d6c95b781f89e165c9b2df9789d
BNB_ETH,2%,24h,18,0xc546d2d06144f9dd42815b8ba46ee7b8fcafa4a2
BNB_USD,1%,24h,8,0x14e613ac84a31f709eadbdf89c6cc390fdc9540a
BNT_ETH,1%,24h,18,0xcf61d1841b178fe82c8895fe60c2edda08314416
BNT_USD,5%,24h,8,0x1e6cf0d433de4fe882a437abc654f58e1e78548c
BOND_ETH,2%,24h,18,0xdd22a54e05410d8d1007c38b5c7a3ed74b855281
BRL_USD,0.3%,24h,8,0x971e8f1b779a5f1c36e1cd7ef44ba1cc2f5eee0f
BTC_ETH,2%,24h,18,0xdeb288f737066589598e9214e782fa5a8ed689e8
BTC_USD,0.5%,1h,8,0xf4030086522a5beea4988f8ca5b36dbc97bee88c
BTC_height,1000%,24h,0,0x4d2574c790d836b8c886615d927e9ba585b10eba
BTC Difficulty,1000%,24h,0,0xa792ebd0e4465db2657c7971519cfa0f0275f428
BTC-USD Total Marketcap,2%,24h,8,0x47e1e89570689c13e723819bf633548d611d630c
BTM_USD,2%,24h,8,0x9fccf42d21ab278e205e7bb310d8979f8f4b5751
BTT_USD,2%,24h,8,0x59f24f18690a2e817115d499d1159580c92de8ca
BUSD_ETH,1%,24h,18,0x614715d2af89e6ec99a233818275142ce88d1cfd
