name,deviation,heartbeat,decimals,address
1INCH_ETH,2%,24h,18,0x72AFAECF99C9d9C8215fF44C77B94B99C28741e8
1INCH_USD,1%,24h,8,0xc929ad75B72593967DE83E7F7Cda0493458261D9
AAPL_USD,0.5%,24h,8,0x139C8512Cde1778e9b9a8e721ce1aEbd4dD43587
AAVE_ETH,2%,24h,18,0x6Df09E975c830ECae5bd4eD9d90f3A95a4f88012
AAVE_USD,1%,1h,8,0x547a514d5e3769680Ce22B2361c10Ea13619e8a9
ACH_USD,2%,24h,8,0xfDFa69A65826e86BD25478ACE08294DC49c02237
ADA_USD,1%,24h,8,0xAE48c91dF1fE419994FFDa27da09D5aC69c30f55
ADX_USD,2%,24h,8,0x231e764B44b2C1b7Ca171fa8021A24ed520Cde10
AKRO_USD,2%,24h,8,0xB23D105dF4958B4b81757e12f2151B5b5183520B
ALCX_ETH,2%,24h,18,0x194a9AaF2e0b67c35915cD01101585A33Fe25CAa
ALPHA_ETH,2%,24h,18,0x89c7926c7c15fD5BFDB1edcFf7E7fC8283B578F6
AMP_USD,0.5%,24h,8,0x8797ABc4641dE76342b8acE9C63e3301DC35e3d8
AMPL_ETH,2%,24h,18,0x492575FDD11a0fCf2C6C719867890a7648d526eB
AMPL_USD,200%,24h,18,0xe20CA8D7546932360e37E9D72c1a47334af57706
AMZN_USD,0.5%,24h,8,0x8994115d287207144236c13Be5E2bDbf6357D9Fd
ANKR_ETH,2%,24h,18,0x2f2ea25382A236FD115Dff160d258351B8b32D63
ANKR_USD,2%,24h,8,0x7eed379bf00005CfeD29feD4009669dE9Bcc21ce
ANT_ETH,2%,24h,18,0x8f83670260F8f7708143b836a2a6F11eF0aBac01
ARPA_USD,2%,24h,8,0xc40ec815A2f8eb9912BD688d3bdE6B6D50A37ff2
ATOM_USD,2%,24h,8,0xDC4BDB458C6361093069Ca2aD30D74cc152EdC75
AUCTION_USD,2%,24h,8,0xA6BCac72431A4178f07d016E1D912F56E6D989Ec
AUD_USD,0.15%,24h,8,0x77F9710E7d0A19669A13c055F62cd80d313dF022
AUDIO_USD,2%,24h,8,0xBf739E677Edf6cF3408857404746cAcfd7120EB2
AUTO_USD,2%,24h,8,0x21c44778293E43afC0F318aC051Ef867c3bDB5ee
AVAX_USD,2%,24h,8,0xFF3EEb22B5E3dE6e705b44749C2559d704923FD7
AXS_ETH,2%,24h,18,0x8B4fC5b68cD50eAc1dD33f695901624a4a1A0A8b
BADGER_ETH,2%,24h,18,0x58921Ac140522867bf50b9E009599Da0CA4A2379
BADGER_USD,2%,24h,8,0x66a47b7206130e6FF64854EF0E1EDfa237E65339
BAL_ETH,2%,24h,18,0xC1438AA3823A6Ba0C159CfA8D98dF5A994bA120b
BAND_ETH,2%,24h,18,0x0BDb051e10c9718d1C29efbad442E88D38958274
BAND_USD,2%,24h,8,0x919C77ACc7373D000b329c1276C76586ed2Dd19F
BAT_ETH,2%,24h,18,0x0d16d4528239e9ee52fa531af613AcdB23D88c94
BAT_USD,1%,1h,8,0x9441D7556e7820B5ca42082cfa99487D56AcA958
BCH_USD,1%,24h,8,0x9F0F69428F923D6c95B781F89E165C9b2df9789D
BNB_ETH,2%,24h,18,0xc546d2d06144F9DD42815b8bA46Ee7B8FcAFa4a2
BNB_USD,1%,24h,8,0x14e613AC84a31f709eadbdF89C6CC390fDc9540A
BNT_ETH,1%,24h,18,0xCf61d1841B178fe82C8895fe60c2EDDa08314416
BNT_USD,5%,24h,8,0x1E6cF0D433de4FE882A437ABC654F58E1e78548c
BOND_ETH,2%,24h,18,0xdd22A54e05410D8d1007c38b5c7A3eD74b855281
BRL_USD,0.3%,24h,8,0x971E8F1B779A5F1C36e1cd7ef44Ba1Cc2F5EeE0f
BTC_ETH,2%,24h,18,0xdeb288F737066589598e9214E782fa5A8eD689e8
BTC_USD,0.5%,1h,8,0xF4030086522a5bEEa4988F8cA5B36dbC97BeE88c
BTC_height,1000%,24h,0,0x4D2574c790d836b8C886615d927e9BA585B10EbA
BTC Difficulty,1000%,24h,0,0xA792Ebd0E4465DB2657c7971519Cfa0f0275F428
BTC-USD Total Marketcap,2%,24h,8,0x47E1e89570689c13E723819bf633548d611D630C
BTM_USD,2%,24h,8,0x9fCCF42D21AB278e205e7Bb310D8979F8f4B5751
BTT_USD,2%,24h,8,0x59f24f18690a2E817115D499d1159580c92De8CA
