address,decimals,name,symbol
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,18,Stox,STX
0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,18,PieDAOBTC++,BTC
0x0417912b3a7af768051765040a55bb0925d4ddcf,18,LiquidityDividendsProtocol,LID
0x04fa0d235c4abf4bcf4787af4cf447de572ef828,18,UMAVotingTokenv1,UMA
0x07597255910a51509ca469568b048f2597e72504,18,Uptrennd,1UP
0x08d967bb0134f2d07f7cfb6e246680c53927dd30,18,MATHToken,MATH
0x0a913bead80f321e7ac35285ee10d9d922659cb7,18,DOSNetworkToken,DOS
0x0ae055097c6d159879521c384f1d2123d1f195e6,18,STAKE,STAKE
0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,18,TellorTributes,TRB
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18,yearn.finance,YFI
0x0cf0ee63788a0849fe5297f3407f701e122cc023,18,Streamr,DATA
0x0d438f3b5175bebc262bf23753c1e53d03432bde,18,WrappedNXM,wNXM
0x0d8775f648430679a709e98d2b0cb6250d2887ef,18,BasicAttentionToken,BAT
0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,18,Abyss,ABYSS
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18,Mana,MANA
0x0f7f961648ae6db43c75663ac7e5414eb79b5704,18,XIONetwork,XIO
0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,12,GRID,GRID
0x12f649a9e821f90bb143089a6e56846945892ffb,18,uDOO,uDOO
0x13339fd07934cd674269726edf3b5ccee9dd93de,18,CurToken,CUR
0x1453dbb8a29551ade11d89825ca812e05317eaeb,18,TendiesToken,TEND
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,18,Numeraire,NMR
0x178c820f862b14f316509ec36b13123da19a6054,18,EnergyWebTokenBridged,EWTB
0x1a5f9352af8af974bfc03399e3767df6370d82e4,18,OWLToken,OWL
0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06,18,Parachute,PAR
0x196f4727526ea7fb1e17b2071b3d8eaa38486988,18,Reserve,RSV
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,18,Bancor,BNT
0x20f7a3ddf244dc9299975b4da1c39f8d5d75f05a,6,SapienNetwork,SPN
0x221657776846890989a759ba2973e427dff5c9bb,18,ReputationV2,REPv2
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,WrappedBTC,WBTC
0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,18,RaidenNetworkToken,RDN
0x26b3038a7fc10b36c426846a9086ef87328da702,18,YieldFarmingToken,YFT
0x27054b13b1b798b345b591a4d22e6562d47ea75a,4,AirSwap,AST
0x28cb7e841ee97947a86b06fa4090c8451f64c0be,18,YFLink,YFL
0x28dee01d53fed0edf5f6e310bf8ef9311513ae40,18,BlitzPredict,XBP
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8,HEX,HEX
0x2ba592f78db6436527729929aaf6c908497cb200,18,Cream,CREAM
0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca,18,OpenSimpleToken,OST
0x2c537e5624e4af88a7ae4060c022609376c8d0eb,6,BiLira,TRYB
0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,18,Viberate,VIB
0x301c755ba0fca00b1923768fffb3df7f4e63af31,18,GlobalDigitalContent,GDC
0x309627af60f0926daa6041b8279484312f2bf060,18,USDB,USDB
0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,18,Decentr,DEC
0x3166c570935a7d8554c8f4ea792ff965d2efe1f2,18,QDAO,QDAO
0x340d2bde5eb28c1eed91b2f790723e3b160613b7,18,BLOCKv,VEE
0x37e8789bb9996cac9156cd5f5fd32599e6b91289,18,AidCoin,AID
0x3a92bd396aef82af98ebc0aa9030d25a23b11c6b,18,Tokenbox,TBX
0x3c6ff50c9ec362efa359317009428d52115fe643,18,PeerExNetwork,PERX
0x3d1ba9be9f66b8ee101911bc36d3fb562eac2244,18,Rivetz,RVT
0x408e41876cccdc0f92210600ef50372656052a38,18,Republic,REN
0x40fd72257597aa14c7231a7b1aaa29fce868f677,18,SoraToken,XOR
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,8,FunFair,FUN
0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2,18,XinFin,XDCE
0x41e5560054824ea6b0732e656e3ad64e20e94e45,8,Civic,CVC
0x42d6622dece394b54999fbd73d108123806f6a18,18,SPANK,SPANK
0x43044f861ec040db59a7e324c40507addb673142,18,Cap,CAP
